feature,0-3h,3-6h,6-12h,12-24h,24-48h
SBP_std_6h,0.01702735039677657,0.015657980168968813,0.02546781267589393,0.017691267056576563,0.015650210766784998
MAP_avg_6h,0.022352342276949738,0.02299490559744942,0.017856244384360908,0.012819790970724207,0.006553661018552637
MAP_min_6h,0.07410204017081524,0.04885888082717283,0.017813033302437324,0.01961558026391041,0.01907597149420659
MAP_max_6h,0.04412773497080721,0.026221159330763372,0.017759505994914295,0.011488821929151141,0.01014407773633077
MAP_std_6h,0.01722350870333348,0.010966770677795128,0.005972072458247872,0.009738001427845467,0.009635305554567297
DBP_avg_6h,0.017288151352952637,0.015024189373354657,0.012860849927088644,0.019920960211681063,0.02776815338983893
DBP_min_6h,0.03213449259502806,0.020373051037774047,0.01434467356473178,0.02575501202814429,0.045959242423336814
DBP_max_6h,0.015750183779223298,0.011521553642228531,0.010166146836994865,0.013957370015390986,0.021148298055259564
DBP_std_6h,0.006723074197766158,0.0035261978905244493,0.0016564046583726717,0.008098993708785028,0.014332238086722342
Resp_avg_6h,0.20617445316788358,0.19330306646684867,0.14764712659851836,0.12938812153759635,0.09798617815436686
Resp_min_6h,0.18922747333425335,0.15949757147072174,0.12935057441176595,0.12315080132310947,0.09486364391482005
Resp_max_6h,0.173898472568484,0.16606676072046078,0.1127240253975999,0.09360300900889189,0.08083990562996053
Resp_std_6h,0.009886147893765927,0.017447715446026284,0.016907708657693952,0.008631303602839065,0.011967097151661023
EtCO2_avg_6h,0.025840705091723933,0.024429292207259486,0.024738270059559274,0.029774799817974974,0.0406558573515185
EtCO2_min_6h,0.019467750632912603,0.017551833316060167,0.017021247393101957,0.020018545686722563,0.025434305236690862
EtCO2_max_6h,0.03654850975060597,0.031387873019233424,0.03115322036090285,0.038160532824650636,0.04867798789057083
EtCO2_std_6h,0.0,0.0,0.0,0.0,0.0
Lactate_avg_6h,0.35682585652317084,0.33794054816423025,0.3006018067814999,0.3270557136558997,0.3376742302409837
Lactate_min_6h,0.40368071195141525,0.37828430280211084,0.3481171357132643,0.3706149784174278,0.4022182152324818
Lactate_max_6h,0.3119196038518266,0.3013086186957059,0.2754056980950456,0.2948072684720509,0.2685039295675766
Lactate_std_6h,0.0,0.0,0.0,0.0,0.0
WBC_avg_6h,0.25402803894882975,0.17828398997809503,0.15380380984468445,0.18130026102520896,0.19094362954307678
WBC_min_6h,0.21898489229104007,0.1805057919955469,0.15299815771618847,0.17246330318517053,0.19032315868592797
WBC_max_6h,0.2249814699247386,0.13912133399831156,0.1246350998096814,0.14798019963822237,0.15326727950400137
WBC_std_6h,0.040264810847477676,0.023217852424617116,0.019506910556550756,0.025707759237578204,0.03231567209701536
Creatinine_avg_6h,0.20998866208239642,0.14316836136723876,0.12169047970589196,0.15915637317971387,0.1752720253773184
Creatinine_min_6h,0.25331983815628273,0.20365976549896916,0.07573213986508072,0.1924243222733973,0.2081413679469494
Creatinine_max_6h,0.1474227322145454,0.13218730620937438,0.12335144221745031,0.14884814845557418,0.15821439179792748
Creatinine_std_6h,0.038853968347844645,0.028670075398844794,0.016347825222468346,0.019673728648177922,0.01830792556972352
Platelets_avg_6h,0.17672771928033865,0.1211338010937126,0.04980900750550434,0.045784441838277234,0.14272609164738975
Platelets_min_6h,0.0900601521215485,0.057379131315788034,0.04586064028731219,0.044848621473478276,0.047030700888772155
Platelets_max_6h,0.1804188046261601,0.1370871911938271,0.023243858185353725,0.024339365349167752,0.17207239943914004
Platelets_std_6h,0.05333055724505279,0.0387660913093305,0.02257943745042252,0.028869913562610913,0.037578244842774784
inflammation_score_avg_6h,0.15671406812159666,0.15191429659792738,0.1103634121633604,0.09601270165323574,0.0671990892885649
inflammation_score_min_6h,0.13786491038564178,0.11131685120913251,0.08354490832053602,0.0792578248557229,0.05877468817970395
inflammation_score_max_6h,0.13346126072211237,0.12157334752898516,0.08720906390471968,0.07074785291137888,0.04897001174664028
inflammation_score_std_6h,0.0057981438559127196,0.004441053767018312,0.0031384880822858258,0.0020050614221003888,0.0015790311358412931
sepsis_screen_score_avg_6h,0.15571862169949782,0.14265557339294738,0.1087277422638478,0.08631235970996319,0.06327948901841196
sepsis_screen_score_min_6h,0.008887205146770766,0.006651402663245928,0.005125431779596977,0.0009252284684786797,0.001418396053631016
